Company Name,Site,Layer,Category
Iktos,https://iktos.ai/,Application,Science
Altrove,https://altrove.ai/,Application,Science
Osium AI,https://osium.ai/,Application,Science
Nova,https://www.novainsilico.ai/,Application,Science
Helical,https://www.helical-ai.com/,Application,Science
Enthalpiq,,Application,Science
Aqemia,https://www.aqemia.com/,Application,Science
Ankar,https://ankar.ai/,Application,Science
Owkin,https://www.owkin.com/,Application,Science
DeltaWave,https://www.deltawave.fr/,Application,Science
Lithosquare,,Application,Science
Nabla,https://www.nabla.com/fr/,Application,HealthTech
Yseop,https://yseop.com/,Application,HealthTech
Vencot,https://www.vencot.com/,Application,HealthTech
Biolevate,https://www.biolevate.com/,Application,HealthTech
PraxySanté,https://praxysante.fr/,Application,HealthTech
Thiana,https://www.thiana.fr/,Application,HealthTech
Heal,https://www.heal.dev/,Application,Development
Creative Robots,https://creative-robots.ai/,Application,Development
Quack AI,https://www.quackai.com/,Application,Development
CreateApp,https://www.createapp.ai/,Application,Development
Mindflow,https://mindflow.io/,Application,Cyber Security
Qevlar AI,https://www.qevlar.com/,Application,Cyber Security
Zygon,https://zygon.ai/landing,Application,Cyber Security
Omniscient,https://www.omniscient-ai.io/,Application,Cyber Security
Clerk,https://aiclerk.fr/,Application,LegalTech
Formality,https://www.formality.com/,Application,LegalTech
Klaimy,https://www.getklaimy.com/,Application,LegalTech
Jimini,https://jimini.ai/,Application,LegalTech
Ordalie,https://ordalie.ai/,Application,LegalTech
Tomorro,https://www.gotomorro.com/fr/#,Application,LegalTech
Spellz,www.spellz.ai,Application,LegalTech
Zeidig,https://zeidig.com/,Application,EdTech
Mizou,https://mizou.com/,Application,EdTech
Studeo,https://studeo.app/,Application,EdTech
Comand AI,https://www.comand.ai/,Application,DefTech
Zaion,https://zaion.ai/,Application,Customer Service
ListenUp,https://www.listenup.ai/,Application,Customer Service
Vocads,https://www.vocads.com/index.html,Application,Customer Service
Yuma AI,https://yuma.ai/,Application,Customer Service
Klark,https://www.klark.ai/,Application,Customer Service
Krispy,https://krispy.ai/,Application,Customer Service
Zelros,https://www.zelros.com/?lang=fr,Application,Customer Service
Smartly,https://smartly.ai/,Application,Customer Service
Siit,https://www.siit.io/,Application,Customer Service
Ideta,https://fr.ideta.io/,Application,Customer Service
AlloBrain,https://fr.allobrain.com/,Application,Customer Service
QuickText,https://www.quicktext.im/fr/,Application,Customer Service
Chaindesk,https://www.chaindesk.ai/,Application,Customer Service
Yampa,https://www.yampa.ai/,Application,Customer Service
Fullwhere,https://www.fullwhere.com/,Application,Customer Service
VirtualBrain,https://www.getvirtualbrain.com/,Application,Knowledge Workers
Inpulse,https://www.inpulse.ai/,Application,Knowledge Workers
Kalent,https://kalent.ai/,Application,Knowledge Workers
Blumorpho,https://www.blumorpho.com/,Application,Knowledge Workers
Dotprod,https://dotprod.ai/,Application,Knowledge Workers
Lampi,https://www.lampi.ai/,Application,Knowledge Workers
Corolair,https://corolair.com/fr/,Application,Knowledge Workers
Fintool,https://www.fintool.com/,Application,Knowledge Workers
Twin,https://twin.so/,Application,Knowledge Workers
Tengo,https://www.tengo.cc/,Application,RFP
Steerlab,https://steerlab.ai/,Application,RFP
TenderFacts,https://tenderfacts.ai/,Application,RFP
Tenderbolt AI,https://www.tenderbolt.ai/,Application,RFP
Goëlo,https://www.goelo.com/,Application,Note Taker
Spoke,https://spoke.app/,Application,Note Taker
Noota,https://www.noota.io/fr,Application,Note Taker
Seedext,https://www.seedext.com/,Application,Note Taker
Leadbay,https://leadbay.ai/,Application,SalesTech
Looti,https://www.looti.io/,Application,SalesTech
Modjo,https://www.modjo.ai/,Application,SalesTech
BigLead,https://biglead.ai/welcome/home,Application,SalesTech
Praiz,https://www.praiz.io/,Application,SalesTech
Zeliq,https://www.zeliq.com/fr/,Application,SalesTech
Relationchips,https://www.relationchips.io/,Application,SalesTech
Muchbetter,https://muchbetter.ai/fr/,Application,SalesTech
Autodm AI,https://www.autodm.ai/,Application,SalesTech
Ween AI,https://www.ween.ai/,Application,SalesTech
Humanlinker,https://www.humanlinker.com/fr,Application,SalesTech
Brief Do,https://www.brief.do/,Application,SalesTech
Asgard AI,https://asgard.ai/,Application,SalesTech
Renalto,https://renalto.fr/,Application,SalesTech
Animaj,https://www.animaj.com/#pocoyo,Application,Content
Lasqo,https://www.lasqo.ai/,Application,Content
Lipitt,https://www.lipitt.com/fr/,Application,Content
Finegrain,https://finegrain.ai/,Application,Content
Pimento,https://www.pimento.design/,Application,Content
Flim,https://flim.ai/,Application,Content
Icono,https://www.icono-search.com/,Application,Content
Kog,https://kog.ai/,Application,Content
Kartoon,https://toongether.ai/,Application,Content
Beink Dream,https://www.beink.fr/,Application,Content
Artale,https://artale-io.squarespace.com/,Application,Content
Voicemy AI,https://voicemy.ai/,Application,Content
Flagcat,https://flagcat.studio/fr/,Application,Content
Devana AI,https://www.devana.ai/,Application,Content
PhotoRoom,https://www.photoroom.com/fr,Application,Marketing
Qlip,https://www.qlip.ai/,Application,Marketing
Veesual,https://www.veesual.ai/fr-fr,Application,Marketing
